User Name,Review,Rating
Devansh kushwah,Very Good,5
Ishan Pandey,You should try it coc,5
Muhammad Usama Mehmood,Best time killer,1
Bhaluwa Jhajha,Bro mera game chalu nahi ho raha h loding hi nahi le Raha h loding Lene se pahle clash of clan has stooped likha jata hai koi solution batao,5
Abhishek Abhi,Best experience,5
Gurmanpreet Singh 505,I will give one star because the time incres the time 4 minnets,1
Eddie cuevas,Good entertainment 👌,4
MSAUCE Boi,Very good,5
Sahil Singh,Very nice nice nice,5
Diane Salazar,Cool elpepe,5
Manohar Thapa,Good,4
Alex Llamas,This game is super fun but the problem is when you upgrade somthing u have to wait like a day or less,4
Ronald Mangrubang,I need gems,5
Tabing Nilo,"Bad game I can,t say it is very interesting game more I have than I give 900000000000 star",5
Prity singh,Bessssssssssssst,5
Landon Edgell,I love this game it is so cool and you should get it 😁🐥😁,5
karun raut,this helps to chat with friends and it gives a ot of enjoy,4
Rohit Rawat,See BGMI if you get Royal pass then you collect uc and buy next royal pass but in clash of clans every season you need to buy gold pass thats the problem please fix it I hope you see this message........ And also while playing game the game automatic crash and I restart the game...,3
soumya,plz improve builder vilages ai,5
Nyi Hein,Nice game but I have no gen Old but gold,5
SK• NiHAl,DOWNLOAD KESE KARENGE KOI BATAO,5
Kurmn,Bulok,1
I am Simon,Good game,5
MOHAMMED AADIL,Nice,5
roy sp,Good,5
C Barrow,Swag,5
Zanos Thanos,"Fun, but needs more things to do. Also you will get restarted if you don't get a Supercell ID account",4
Noorulain Rajput,Best game ever,4
Sugar Star,Upgrade version is good😇,4
Joel Taylor,love the game,4
Soham Arvind Ranbagle VII B,Best,5
Rezaul Islam,My old memories with this game,5
Caulin Quijano,I enjoy playing COC. 💚💚💚,5
VRUSHALI SHINDE,Best game award goes to CLASH OF CLAN FROM MY SELF VERY NICE GAME I LOVE IT,5
Rajesh Rajesh,This is nice game good Experience 👌👌👌,4
Abdul Moqsit Hajir,King King,5
Manju Sharma,No words,5
Amir Hussain Chowdhury,Keep up the good work,4
Esmo Tara,Nice,5
Daksh Patel,Nice Game,5
Shemim Begum,Its really nice experience to get your old account after a years,5
Titanick,Best game,5
Kiel Shiela,Nice game since 1215,1
paul cooper,I love the game but can't load game onto Samsung tablet A it will start to load and stop half way though is there any fixes for this please,5
PrK Panda,Great game,5
THOKER JUNAID,I love this game,5
Kelechi Uche,Very awesome,5
Sabrin Kaium Shifa,nice game💖💖,5
Blank I'd,This game is very fantastic 😊😊,1
dilshan jayawardena,Nice strategy game👍,5
Md.Hasan Ali,Probably best game.😁😁😁,5
Josan Legend,Very good game,5
REHAN Makkan,Balblaabkabkaalalaskvakabalshekzg uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuumeto daaaaaaaaaaaaaaaaaaaaaaaaaagi,5
Febin Francis,Good,2
Basit Shabir,"Bcoz upgrading takes 2 much time that is reson...,",1
Manwinder Singh hundal,Really pretty game.,5
Sreehari c u,Lame game. Uninstalling. Please don't waste life playing or developing this game. There are better games out there.,1
As Sofik,So. ❤️❤️❤️nc game,5
franco srtauss,Nice game,5
Md Parvej islam,Iove u,5
Jermen Algarme,I rated 2 star because the builderbase matchmaking system is very unfair you'll be match up by players with higher builderhall and more advanced defenses so how am i gonna win a versus battle?if my enemy is stronger?please match up players with the same builderhall. Overall great game👍,2
Saffi Ullah,ilovethisgame,5
Vinod Kumar Agrahari,Ok,5
Sr Ariful,Op,5
Mhademo Kikon,Oshu nra tsung😘🖤🌷,2
Kishor Biswas,My favourite time pass and strategy game,5
Vijay Rawool,Good game in coc but 100%good game,5
Mark Christian Pante,Chupapi munyanyo,5
HELCENKI ALi,Good game 🎮,5
Pubg King HM King,It's really a good game,5
THARMAR,Enjoy,5
fsdog,🍞🍞🍞🍞🍞,5
LING RAJA,"This game is very good and enjoying to intersting this game, I am very happy interested to game chat and enjoying moment. Thet all...",5
Evil Black gaming,Good,5
Prince Joy,Nice,5
MD HRIDOY HASSAN,supar game,1
Tarek Rohman,Nice,5
MR SAM SMART,I LOVE THIS GAME,5
Agape Abquilan,I like this game much I was playing this in year 2019,5
Buddho Das,😍😍,5
Gita Budhatoki,This game is so good game,4
aaron minnaar,Best game I have everything downloaded,5
ABDALLH MOHAMED,رائعه,5
Najeb Solaiman,Is this a fighting game,5
Mitho Ashraf,The game is good...but I hope to add option to send gems and gold and exier from the clan...It will be good then now,4
koko linlin,Good,1
Ankit Kumar,Show duty,1
Kike Mendoza,Nice game,5
Ammu Fari,Nice,5
Golu Kumar,Good game I play this game after 2 years this game was best that time and this game is also best now,4
Dhoumya Baidya,I like this game. I have a clan also.name req and leave,5
Shirsendu Chattaraj,Outstanding game,5
CRAZY GAMER,Fantastic,1
Bin Jiad,gas,5
Farooq Khan,Awesome game I had ever played,5
Kishore Kumar,Super,3
Båđ Bøý,hhiuggt?@@,5
Justine Orozco,Tângînâ gandaaa,5
sufiyan sheikh,Ziyan,5
Jericho,Unfair mm. Gold 1 th7 getting matched against silver 1 th9. Edit: Im now a th8 and crystal 3 and getting -50 every single defense that I lose. If a 0 star review is an option then it is highly recommended.,1
Obi-Wan Kenobi,Fun game!,5
Md Momen,Nice,4
Mahan Chandra Mondal,Nice game,5
ԍκʟ_נᴀᴅᴅu,🏡,5
Mr Raj,Nice game,5
Manjit Kour,Nice 👍,5
Adrian A Baguia,Play since grade 5,5
Dylan Lant,HOG RIDAAAA,5
MANOJ GUPTA,Amazing,5
S Chandru Chandru,Supper eantertaim game,5
Ifty Chowdhury,Nice,5
Badar Nadeem 7j,I love this game,5
Jaylord Rio,I like all in here,4
MAYANK 470,Not working,1
Itta Charan,Super,5
M CM,Good coc,5
Landon Potts,It's a great game to get on once a while and chill,5
16 Atul Singh XII 'A',Very nice game u will luv it as u go higer in town hall and cool updates and defenc e,5
Mahmud Hasan,really amazing.......just cool....... i can say that this game is very nice and very easy.. tnx for new update..,5
Ahxcel czedrick Gascal,Ok,3
Htet Yan,good game for me,5
Rohit Talwaria,This is not opening in my vivo phone So fix this problem,2
Vineet Kumar,ewwwwwwwwwww i HAAATTTTTEEEEE THHIS GAMEEEEEEEEE,1
Kunal bhoyar,This is so boring game now ...... It is just waste our time...,1
Ezhil Thomas,It was a good and strategic planning game I like this game ❤️,5
Mary Grace Patrimonio,"Great game, its bring back the memories.",5
Nick Hart,Horrible love the game the game is amazing but the customer support tanks a motherfuker line which is why I give this place one star if I could give zero I would but f*** clash of clowns and ten more just like you it's games customer support us some b******* I lost my accountant hadn't been able to get back into it so I uninstalled it because I'm not going to put my time effort tears and blood you know I bled because I played this game with a cracked – screen and got glass in my fingers f******,1
Manwilly,"Really fun, I enjoy this game and it never gets old.",5
Vivek Waghchoure,Nice game,5
Abdulla al Kawsar,Very good app,5
Rabari Soham,Very good game,5
Khursheed Najar,SIÚUUUUUUU GOOOOOOOOIOD,5
Muhammad Yaqub,Wow,5
Angela Pauline Silo,This app is an amazing app it's really easy to play and it's also very fun and enjoyable. I strongly recommend⭐⭐⭐⭐⭐,5
Kunj Patel,Op game,5
Anita Kumar,i hate this game ewwwww i hate this game so so so so so soooooooooo muuuuuuuuuuuuuuucccccccccccccchhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ewwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1
Kunal Pal,Excellent game I am enjoying to play this game.....,5
Naresh Purohit,I love clash of clan like attack and adventure. Clash of clan is a latest game of world . Clash of clan is a world famous game .,5
Gurprem Singh,Good game but there is some issue that me game is not starting always showing loading screen,5
Renu Chauhan,Next level game,5
azfarisya,Best,5
Aayush Kumar Chaurasia,5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Gem Do,5
Shairon Lee,Very beautiful game of all time,5
yugal malik,Very good game 🎮 ❤️,5
Lᴀᴋsʜᴀʏ Bᴀᴍʙᴇʟ,👍🏿👍🏿,5
Dear Family,Very nice Excellent .,5
Eshu N,This game is very wonderful and curacity game,4
TORREX GAMING,One of the best games i have ever played This game is my childhood Thank you supercell for this gift,5
Mr. Red gamer,No time for long writing but always 💋💋💋❤️❤️❤️❤️💙💙💙🖤🖤🖤,5
Basant Kumar,Very nice game,5
Rafi Haider,This is so nice game.,5
Rahul K R,super game fob game l love,2
Prabal Kalita,very good application,5
degu dano,Nice app,5
Christoff Louiz Reyes,Da best,5
nuclear bhai 2.0,Best game in word,5
Noamane Najih,Good game,5
Gerlyn piz,Im enjoy,5
RAHUL RAJAK,Special comfort for gp players...,1
Md shakib Hasan,Nice game,5
Red roblox TOH,Awesome game! I have 1 problem though your game doesn't work on Chromebook it used to but now it dosent,5
Roman Hasan,Nice game just wow,5
Abdulrahman Omar,Perfect game,5
Gow tham,Super game ❤❤❤,5
Amita Saini,It is world's best game I have ever played,5
Bilal Ahmed,Very nice game it has timings so u dont get addicted and ruin you're eyes,5
Clint Gaming,Empresive game hehe,5
Raven W.,"I used to like this game a lot but the update notification keeps popping up before I can play the game, but I CAN'T UPDATE IT!",3
abhilash r g,Legendary strategy game.Loved the experience.,4
md ibrahim,nice,1
Tejaswar Gupta,Good,5
RUDRANSH SINGH RATHORE,Always crashing in Samsung galaxy tab A,3
R.AROCKIA NITHIN,My mobile data is drying when I entered into this game can anyone know to solve this problem,1
A R K,I am back in coc after years,5
tinku dey,Op,5
rhadz tuhao,Mas maganda na ngaun kay sa dati..,5
NOT SK 45 GAMING,Only coc,5
Alex Torres,Super fun game,5
For doing Call back,Best game pls download it,5
Dhiraj Jha,Hmm...its okay.,5
Pinku Ali,uhh,5
Angus Ferguson,Its a nice game,4
Filipe Mota Prego,Great game it's really fun to play when ur board,5
SAJAL BANCHHOR,Op game,5
GUJJU RABARI,Op sup Erc Ell,5
Ankush Malik,Coc pay to win mat karo plss.... 😤😤,5
Shaikh Danish,Thas game is vrey bast,4
Samantha Y Brown,"I'll always come back to supercell games, they are fun and addictive.. love them",5
PROBASH INFO CENTER,My id still problem,5
berdo gaming,Amazing game,5
Sameer Priyanshu,Outstanding,5
Seyed mohammad ali akrami,Old but not gold,1
Rajan Dahal,Wow,5
Gautam Gawande,Want help to recover my account... I gave necessary details but its not useful. Im ready to give every genuine details... Please help,1
Nathan Malone,OMG so fun I wish I had infinite gems,5
49B-21 MOHAMAD FIRZI BIN MOHAMMAD PUAD,Good,5
Crisbryl Labastida,I like it,5
Myo Myat,first time 3 years ago,5
Shabbir Ahmed,Bast game but the silver is very mangha,3
Jesu visuvasam Family,Good!!!!,5
Marian Fajardo,It's been many years and I still playing this game... This game is 💯 good... I hope it will stay the same,5
Jonathan Zelayandia,Love it period.,5
Srijan Shakya,Nice,5
SHIVA M,I love this game a lot . I got a automatic upgrade after 2 months,5
Cj Bakig,I love it,5
PowerNinjutsu 199,Mantap...,5
Brijesh Dubey,Op game,5
Ahmad Shah Safi,I love this game,5
Raj Thakur,Oohogh,5
Teena Sogan,Really excilent game I love that,5
Max Hailwood,Super fun and a teamwork filled game,5
Gulam Rasool khan,I love this masterpiece 💜,5
Reo Villarante,It's nice,5
Shrey Patel,Good,4
Dinesh Das,👍👍,4
selvakumar raju,PP GAMER YT,5
Patrick Juan,I love this game🤗❤️,5
Thabo Liphoto,It's great once you find the perfect clan where everyone appreciates one another,5
tarikul islam,Good,5
Aaron Fernando,Dis is so good game,5
Sai Khay,Very good,5
Pravin Thapa,Best apps,5
chijioke kelechi-samuel,Wonderful game play,4
Manini Deshmukh,Good strateygy game,5
Lata Dhuwadhapare,nice game,4
Daksh Yadav,Like Karo follow karo,5
Dhruvesh Naik,One problem is that when I give cc spell to anyone it automatically cut my elixir pls look in this,5
loi kaw,this game is good,5
jamespatrick Madalag,Sow biutiful gahahhahahaha,5
Neeru Rawat,It's a very awesome game,5
NH SMOOTH 444,This game very nice,5
Naksh Rajput,great,5
Yathiran Gaming,Super game,2
Reymart john Omangpang,It's ok,4
reza azarfam,excellent,5
Carl Benedict Oanzon,So good,5
Spear ton,good game,1
stanashford,"My 1 month experience on this game is very good! I enjoyed this game. Even when its frustrating, its still fun! I highly recommend you trying this game! Its even fun with friends.",5
lavnaya singh,Very boring because it take lot of time to train army.,1
Raul Jr Bataculin,Please add a world chat and private chat ☺️,3
SEH Iqbal,Best game ever played please download it. No problem I'm on Th 10.nice game,5
Animation guru,This is a noob game.,5
anil rathi,"I think this is very very best game for Android. I like this very much so, I gave it 5star",5
Surya Gharti,My game is not open please fix the loading problem,5
Ankur Khopkar,Nice game,5
Adam Musyrif,This game are very good,5
Jelani Boggs,"It's a fun game, but when I try to login sometimes it just crashes for no reason.",3
Kamal Alexandros Akkari,very good game they just need to reduce the upgrade times a bit,5
Apple G,Good game,5
Fredo Ubas,Great,5
Sahil Miskul,Good 👍,5
Al fateh,Its a time killing game but i loved it........ Love from Bangladesh,5
ankit kumar,Op,5
mercedez Asis,ilove this game verymuch,5
Chinna Thambi,Nice game but game open very late......,3
অন্ত রালে,Excellent,5
Colby Bailey,Its a really good game if i lose a battle with 49% destruction I lose 20-30 trophies but I win with 50% I get 6-9 trophies which is dumb but thats the only problem,4
Warzonegods Gae,This game is so fun,5
Mohhammad Malti,واو,5
Deepak Panwar,Lag problem many time,4
wickramasinghe gunasekara sugathadasa,Its really cool,5
Harold Wilkie,"I know that it's a game meant to fight with other clans, but why do you lose so much elixir, you save for 15 hours or so from a previous attack and somebody attacks you again, you have lost all that time and elixir you have saved, just like every other game you need to spend money to try to improve your base, and your prices are not cheap, this is a bad time with our economy in the state it's in to ask for money, I've been playing this game for a long time and now considering deleting it",1
Dominic Dafne M.S,Great app,5
MuthuシBlackシPearlシ,My Account was missused by someone else. So many time I contact us but no response from your side. I want to logout from all devices. Kindly request to add this option in game,1
Bakr zazi,This guy sucks,1
Chandrakant Bhardwaj,Super cell my verification code was not come please help me,4
Abie Khan,Amazing game me and my friend mollie are in a clan,5
Param S.,Awesome🔥,5
B.NITHISH 7:D 7424,SUPER GAME,5
Nay Win Naing,Very good game,5
juiji Tony,It's a long time since I didn't play this game,5
Cyntaxx,Get back GLOBAL CHAAAAT!!!!,1
Guillermo Briones,Por me is ah fun ah game end exciting,4
ramesh Dubey,Good game,5
debjit das,Op game,5
Cats In Dungarees,Smashing game,5
O Vo,I like this game,5
Mintoo Doshi,Awesome,4
Dev Biswajit,One synergy for free all active players Task complete for free synergy event plzz coc,5
Vijay Vijay,verithanam,5
Professor Gaming,Super,5
Aman Roy,Best game,5
Boss Family,Good good good vary interest,5
Soyab Khan,I install this game only one day and i hit 20+ level and level6 town hall i love this game .....this game is very softy work in 1gb ram device i recommend you to download this game this is best coise of gamers,5
tanishq jaiswal,Very nice game time pass ho jata hai bhot achaaa wala,5
Tipen Gogoi,Op,4
Prince Cyruz,Ok,5
Raman Ahlawat,Gsgsa,5
Tisoy Nalus,Its ok,3
Pampa Hazra,best strategy game my Tag#P8OUC2YYQ i am playing this for 5years very good game,5
Moudud Ahmmad,Lisan,5
Ryanglenn Araneta,Nice game,3
Musaddiq Shaikh,Is very best game,4
Dᴇɪɴᴢᴏ ꨄ,Clash of clan more like clash of wait,1
MD ISRAFIL Royal,Don't download this game very bad,1
Danish Asyraaf,"There have been many changes in coc but I still like the changes. I remember the old coc, different from the current one. Which is now more beautiful graphics. No matter what, this game from then until now has never fallen. Five stars",5
Redwan Ahmed,Good app,5
Iwalola Bukola,Bad game,2
Rafi Gaming,Don't download this game not attack ment,1
haddad olanda,Maganda po,5
Sharmina huqe hira,Op game,5
fmsam,So fun,5
Ninjakiller Robloxpro,This Suggestion Is Probably Not Gonna Get Seen But You Should Make It That You Can Replay Attack Events Like Golem Gautlet So If We Lose We Can Look At The Replay And See Why We Lost Or Our Mistake And Also Share The Replay To Our Clan Mates So They Can Know How To Beat It If They Are Having A Bad Time Doing It Thats Is What I Call GQOL,4
Kishor Karki,Everything is good it is a game of patience and building and strategy....but there is no feature to change clan name...so supercell add option to change clan name..,3
HALLO HD,Goodddd,5
Alice Karen,Good,5
Parth Sakhuja,This game 🎮 👌 is the best 👌 game 🎮 I have 👀 seen,5
shagai,Gooooood,5
Maricris Jainar,Best game ever,5
sgfdfhh Sjgfghg,nove gime,4
Md Shoriful,Hi Hi,5
Vince Martin B. Negrana,best shis so far,5
Rubel Ahmed,My favourite game,5
FROST BERG GAMING,Super morwalous fantastic game I love this game morvolus,5
Rica Mae Riosa,♥️,4
Roben Luces,Nice game,5
Kenneth John Caballero,Nice,5
Jamal Casan,Away gumana sa akin lohhhh😵😵😵👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1
Arman Ghaemmaghami,very good game . It is very interesting,5
Aldin Tablatin,Nice game,5
sunku bharath,I have made a purchase of golden pass the amount was deducted but in app it is not showing means im not able to access the golden pass.,1
The Unknown 910,Global chat open now🤔🤔🤔😒😒🙄,1
Ff Ff,Best Game ever,5
Izza Ahmad,It is a very good game,5
Amir Tanha,O my god it's so great,5
Cheese Man,Amazing game!So satisfying to watch my troops destroy the enemies baase.,5
kalyxvien palupit,haha,5
Manal Sleem,Woww game,5
Nisha Saroj,My favourite game,5
Goutam C V,Not download speed,5
S Hsh,Good,5
Viswan Kulappuly,Very good game 😄👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 has many characters ☺️,5
fire fire gaming,Nice Game,5
Sahil Randhawa,I love this game,5
Rubail Haider,Verygood game!,5
Game Xchanger,this is one of the best game in world wide thanks,5
Mark anthony Angangan,Good,3
Marvin Perero,Won't get tired playing this game!,5
karen romualdo,"Plsssss fix this app, it doesn't work in my phone vivo y19c plsssss",1
Joe Mitchell,Great way to pass the time...,5
catherine martirez,Malakas ako umattack ist god,5
Amir Hosein,Very nice❤❤,5
May Thazin Ko,So good,5
Suraj Maharjan,Good,5
JC Manayan,Cool game,5
waseem,I love this game,5
amir B,عالی بود,5
Mythios GT,"Main dari 2018 sampe sekarang masih th 9, prematur pulak wkwkw, keren Supercell",5
G-A-M-E BG,I have reached town hall lvl 8 and i brought 400 gems and it made me into townhall 1,1
Atharva Shinde,Oo,5
Rupam Bajani,super game,5
Gelo Eparwa,Oakl is August AIG ajviaoh and are oaks BBB,5
Adrei Bruzo,It's cool,5
bimsath waliveta,this game is wonderful,5
Allwin C.S,Clash of clan Better than free fire no bug's,4
Riyaz Khasim,Good,5
ANUJ KADAM,Next level very very nice I like this game I played this game in 4 years but my experience is very nice,5
attracting vision,Very nice,5
Monir Islam,Mafia Monir,5
Matīss Gustavs Vītols,Very good very nice game! I like it.,5
Edraine Navarro,Its so relaxing,5
Viggo S,great game,5
Patel Vishwa,It is nice game,5
Aiden Gaynor,"This is a perfect game if you like attack,build, and Defending i love it",5
A Google user,One of the best old games love it,5
ICONIC GAMER,Very very nice game 🎮,5
Kavin Ragavee,Very good game but a update is there the we can join the left before clan,5
ABHISHEK PV,Super,5
Rea May Anne Salinas,"i use to play this game about 5yrs ago ,then i play again today but from very start level, well i lost my game account 😕 but I'm still happy with this game it's even better now.. Update happy playing this it's faster progress ☺️😘",5
leenardjim moraels,I love this game,5
Gannu Agrawal,Worst game,1
MFDBS official,Thank you for the game🙏,5
LALLANTAAP VINES,Super 😍😍✌,5
Elango Elango,Super game but more time,5
Gyan Singh,Your clash of clans is not open,5
Sujan Ahammed,"No word , literally no word to say about coc. ❤️",5
Michele Marquez,Can.you give us more excitement on this game..can you put a donation gold or elixer to the clan castle and make a market clan..,1
David smith,Easy to play and addictive. Nice that you can pay if you want more and great that you dont need money to play.,5
King Coc,King of game forever.🥰🥰🥰💕,5
esubash subash,I very happy this game but better feel bro.... 😌😌😌,5
Sanju Swarnakar,Achi game ha but koibhu hack karsakta ha or koi madat bhi nahi karaga..jaisa mara sat hua ha🥺,5
Angelo Rodolfo Bayani,Its fun to play,5
Anita Barve,Nice game all of the best game coc best of the best game children his brain game niceb👌 of 2017 first online game is download please game good game his all please playing of game not mind mentality of one time playing of 20 minutes playing not harmful is playing to game of brain strong and power all old playing man is good game suggest playing game of all other person his game is not disturbing of mind all family playing of online game his game nice to game in upgrade town hall Very nice 😊😊,5
Karan kasaudhan,this game is so good,5
Sonu Pramanik,Good game 🎮,4
Jisu Krishna Jena,I love this game as we have to defend by using our mind and attack also.But this game need world chat it's incomplete without it.But it's an interesting game and the best strategy game ever.,5
Tuli Begum,🇧🇩🇧🇩😁,5
Irin Ferdous,This is very enjoying game,4
SALOM,Cook of coconut game 👎👎,1
John Wayne,Clan war for builder hall village please,5
Ab Jami,تنکیو,5
DIMAS Aryanto,Nice,4
Jagath Chandana,Supari,5
"Lukban, GianLuigi Zeppelin A.",Still the best game i played since its first release,5
Abdulahad Shaikh,Nice game,5
DAVID SALDANA,Is my favorite game of all time on Android phone! 😎,5
JoePlayzVG,This game is so fun litally everyone is playing it at my school,5
Nicholas Bene,exeptional gameplay to class neeeeeeeed to try out,5
ɪɢɴᴀᴄɪᴏ,SUPERCELL YOUR MATCHMAKING SYSTEM HAS GONE CRAZY !!! Today I opened coc on my phone and it showed me that someone attacked me and I lost the defence ok fine . But when I visited the base it was th10 and I'm only th8 what is this !? Can't you just fix your matchmaking system !? That th10 player is on gold 3 league and I'm just silver 2 . Fix this or else I'll leave the game n this review will be 1 star forever !,1
Kartik Saini,Bring back Global chat.,2
A Google user,Since i have been playing for 7years...it is more fun and enjoyable... I request SUPERCELL to develop more and more to this game to be NO1..,4
Vjolan Spahiu,Thise game is good,5
Khoj Khon,so,5
Priyanshu Mehta,This game 🎮 is very good,5
Regulus Corneas,"P2w, not balance",1
Sale Denosca,Love it 😍😍😍😍,5
atim shungkho,Loved.,5
Neha Chauhan,Rfg,2
Indrani Ghosh,It's a good game and very nice I like this game but has game is not unlimited coins you download to unlimited coins to Google APK search to clash of clans unlimited coins APK download,5
mehedi hasan official,Good game,5
Ashu Singh,op,3
A Google user,its adictive but super cool👍,3
Harri Barn,"This game is so old, and throughout its time it has continued to be the best mobile game you will see on the app store. However the AI in the builder base is a bit dodgy at the moment. Troops will go around a wall to attack the farthest away defence, probably because it was closest to them on the outside of the wall, but they end up going through several defences and being expended because of it.",5
Mohammed Arif,Zabardast🔥🔥🔥🔥,5
BryxTzy,I love it,5
abejae montecillo,👍,5
عرفان رگبارمقدم,عالی,5
Mijoli Majhi,Very nice game,5
mujeeb sheikh,war mein 1 din prepairing ki jagah 12 ka hona chahiye prepaeing day,5
Lavee Lavee,My game is crash😭😭,1
Md Arif,Noob Game,1
Amjad Hazim,Ok jh,4
Cholo Reyes,Childhood,5
Edlord23 Cabrera,Yawat na ..,5
JAZ FUERZAS,About the barracks training Example you have a 4 barracks But the training is just one. Please upgrade it If you have a 4 barracks there should be 4 heroes to come out not just 1 Thre should be 4 heroes going to the camp and the same time the dark is deferent training time because ist deferent from your ordinary barracks please think about it. The other barrack will be useless like what happening now.,2
Mousumi Mandal,I am unable to play this game(supercell) and brawl stars in realme c12 . After opening it is not connecting with game server,1
jaisah abellare,Excellent,5
Vishal Mali,nimce,5
Lord Gaming,Game is awesome but my account has been deleted after that I have started new account it easy to level up but when I reached th7 and now I am enjoying thanks 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,5
Janina Cruz,Nice game!!!,5
Hassan Ehsan,Incredible game! I love it :-),5
Mama Mame,Sex,5
Johannes Isomaa,Tässä voi olla luova ja stradeginen oman kylän kanssa ja claani sodat on kyl kovia.👍👌,5
Aung Kyaw,I love a game,5
One one,I just want to buy cheap,3
SREEHARI JAYAKAR.V,This is a superb game,5
Donniel villalba,This game is very good,5
keam chhou,I enjoy to play this game!❤️,5
Hemanthkumar Hemanth,Nice game,5
Dong Jade,Very nice game,5
Shafat Sami,Its very interesting game but town hall 13 upgrade can't work every mobile,5
Aarish Haque,Many problems in this game,2
Nayan Rabari,Nice game of the world and all of you dear friend how happy in game 👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌,5
Jeffrey espina,I love this game,5
